epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,21587.2,0.81311,0.57066,0.96358,1,0.74857,0.81704,0.60523,1.02694,0.93649,1.02344,0.001439,0.001439,0.001439
87,21994,0.83753,0.55853,0.99916,0.9333,0.8,0.85509,0.59539,0.90517,0.81972,0.99122,0.0014324,0.0014324,0.0014324
88,22070.8,0.83266,0.56403,0.98359,0.93411,0.8,0.81468,0.65828,0.85094,0.81265,0.98449,0.0014258,0.0014258,0.0014258
89,22150.5,0.85153,0.62133,1.00617,1,0.73655,0.81218,0.64711,0.87037,0.72258,1.00576,0.0014192,0.0014192,0.0014192
90,22652.1,0.84662,0.61036,1.01192,0.92296,0.8,0.80139,0.61203,0.99975,0.874,1.08065,0.0014126,0.0014126,0.0014126
91,22822.3,0.85434,0.56142,0.98375,0.92219,0.75,0.78092,0.58991,0.98314,0.96378,1.02835,0.001406,0.001406,0.001406
92,23222.5,0.85781,0.58814,0.95424,0.99477,0.7,0.77917,0.59322,0.99118,0.96604,1.03195,0.0013994,0.0013994,0.0013994
93,23301.1,0.76719,0.54503,0.93885,0.92991,0.75,0.80013,0.60445,1.02113,0.84516,1.07222,0.0013928,0.0013928,0.0013928
94,23378.5,0.87447,0.5691,0.97023,0.93655,0.73865,0.79797,0.57815,1.04278,0.84241,1.12178,0.0013862,0.0013862,0.0013862
95,23828.2,0.8491,0.57237,0.95143,0.92677,0.8,0.79951,0.60709,1.03749,0.82602,1.10584,0.0013796,0.0013796,0.0013796
96,23900,0.84883,0.58207,0.9584,1,0.74941,0.79516,0.59208,0.97218,0.84212,1.10087,0.001373,0.001373,0.001373
97,23974.7,0.93449,0.64833,1.00747,0.9867,0.8,0.80416,0.59452,0.97223,0.8836,1.07484,0.0013664,0.0013664,0.0013664
98,24430.5,0.83924,0.56031,0.96853,0.98984,0.8,0.81432,0.59519,1.03198,0.79921,0.97554,0.0013598,0.0013598,0.0013598
99,24506.6,0.83486,0.5698,0.9662,0.9798,0.8,0.81364,0.61632,0.91102,0.67364,0.97609,0.0013532,0.0013532,0.0013532
100,24582.9,0.86884,0.58668,0.93487,0.93118,0.85,0.84882,0.63367,0.84593,0.68304,0.99234,0.0013466,0.0013466,0.0013466
101,25053.6,0.86112,0.59564,0.96523,1,0.84835,0.85121,0.68117,0.80766,0.69328,1.03737,0.00134,0.00134,0.00134
102,25129.4,0.86707,0.58475,0.97446,0.97855,0.8,0.84788,0.64682,0.91523,0.74591,1.01029,0.0013334,0.0013334,0.0013334
103,25208,0.77549,0.53624,0.95517,0.93293,0.8,0.84798,0.64809,0.88868,0.7462,0.99891,0.0013268,0.0013268,0.0013268
104,25660.2,0.76916,0.50097,0.95892,0.94407,0.84421,0.8529,0.64453,0.92998,0.71495,1.02268,0.0013202,0.0013202,0.0013202
105,25742.1,0.74879,0.51623,0.94903,0.94442,0.84962,0.85723,0.70321,0.80137,0.5751,0.95917,0.0013136,0.0013136,0.0013136
106,25823.6,0.74326,0.5282,0.92091,0.98813,0.75,0.82316,0.63107,0.89735,0.76166,1.0063,0.001307,0.001307,0.001307
107,26278.9,0.77525,0.53436,0.94101,0.94046,0.79032,0.8286,0.65417,0.89519,0.83554,0.9923,0.0013004,0.0013004,0.0013004
108,26352.1,0.8483,0.56547,0.97597,0.97773,0.75,0.80303,0.64951,0.9445,0.85293,1.00325,0.0012938,0.0012938,0.0012938
109,26429.4,0.77789,0.54658,0.93913,0.99326,0.75,0.77208,0.63246,0.86189,0.74606,0.97284,0.0012872,0.0012872,0.0012872
110,26875.1,0.75502,0.52076,0.95475,0.9914,0.75,0.77,0.64093,0.82832,0.76206,0.9624,0.0012806,0.0012806,0.0012806
111,26957.1,0.71055,0.51219,0.90209,1,0.79507,0.85481,0.65678,0.8415,0.67133,0.9446,0.001274,0.001274,0.001274
112,27039.4,0.72996,0.49652,0.92506,0.99469,0.8,0.85285,0.63702,0.96562,0.71804,0.95565,0.0012674,0.0012674,0.0012674
113,27489.3,0.75446,0.52449,0.92799,0.941,0.79753,0.85457,0.67006,0.87491,0.67618,0.94429,0.0012608,0.0012608,0.0012608
114,27563.5,0.75898,0.51032,0.90257,1,0.7987,0.85486,0.66039,0.92141,0.71277,0.94828,0.0012542,0.0012542,0.0012542
115,27640.9,0.74497,0.49991,0.9342,0.92922,0.8,0.84259,0.65877,0.89149,0.73744,0.95923,0.0012476,0.0012476,0.0012476
116,28071.6,0.72783,0.51005,0.93144,0.97524,0.75,0.82049,0.65067,0.88749,0.64554,0.99629,0.001241,0.001241,0.001241
117,28148.2,0.71211,0.51316,0.91518,0.98555,0.85,0.89514,0.65953,0.88483,0.57303,1.04052,0.0012344,0.0012344,0.0012344
118,28224.7,0.69908,0.48492,0.94372,0.93693,0.8,0.87048,0.63387,0.94301,0.63582,1.03474,0.0012278,0.0012278,0.0012278
119,28684,0.73136,0.48414,0.92836,0.88859,0.79771,0.8295,0.65962,0.8558,0.70497,0.99357,0.0012212,0.0012212,0.0012212
120,28760.2,0.79879,0.54348,0.95573,0.97373,0.75,0.83271,0.67611,0.85149,0.65017,1.00826,0.0012146,0.0012146,0.0012146
121,28840,0.73699,0.49352,0.8943,0.94253,0.85,0.87203,0.67902,0.8306,0.67287,0.9639,0.001208,0.001208,0.001208
122,28948.4,0.78425,0.54575,0.94776,0.88471,0.8,0.84313,0.64202,0.87082,0.73848,0.96625,0.0012014,0.0012014,0.0012014
123,29059,0.72561,0.51806,0.90898,0.98594,0.8,0.88232,0.65001,0.8308,0.70835,0.96646,0.0011948,0.0011948,0.0011948
124,29516.6,0.70432,0.52261,0.95596,1,0.83473,0.89401,0.66834,0.81997,0.61708,0.93369,0.0011882,0.0011882,0.0011882
125,29963.1,0.75052,0.50254,0.91898,0.93462,0.9,0.89994,0.67298,0.82431,0.62791,0.91475,0.0011816,0.0011816,0.0011816
126,30039,0.67893,0.49493,0.9153,0.93658,0.85,0.88336,0.66863,0.89157,0.5653,0.91993,0.001175,0.001175,0.001175
127,30117.3,0.70122,0.47715,0.8894,0.99179,0.85,0.86159,0.67989,0.93423,0.78555,0.94994,0.0011684,0.0011684,0.0011684
128,30566.2,0.73574,0.54931,0.92724,1,0.84044,0.86443,0.63292,0.95773,0.85425,0.96718,0.0011618,0.0011618,0.0011618
129,30645,0.68552,0.47183,0.89736,0.99749,0.8,0.8006,0.60862,0.96648,0.84027,0.98913,0.0011552,0.0011552,0.0011552
130,30722.2,0.70089,0.51008,0.92423,0.93413,0.8,0.79648,0.59131,0.97871,0.82153,1.01625,0.0011486,0.0011486,0.0011486
131,31113.5,0.66634,0.5178,0.90524,0.88229,0.8,0.82369,0.62989,0.87781,0.62208,1.00442,0.001142,0.001142,0.001142
132,31187.5,0.6747,0.47171,0.89798,0.83535,0.8,0.79002,0.60685,0.93321,0.67262,1.04196,0.0011354,0.0011354,0.0011354
133,31265,0.75969,0.53293,0.9482,0.85596,0.89173,0.86937,0.64373,0.88779,0.68855,0.99802,0.0011288,0.0011288,0.0011288
134,31370.2,0.68308,0.47784,0.89229,1,0.8922,0.90638,0.65935,0.88002,0.69498,0.97663,0.0011222,0.0011222,0.0011222
135,31479.2,0.73,0.4899,0.92651,1,0.85011,0.90803,0.67434,0.89203,0.67364,0.96646,0.0011156,0.0011156,0.0011156
136,32099.3,0.74351,0.47151,0.89534,0.89338,0.83843,0.8877,0.67133,0.89278,0.61984,0.95587,0.001109,0.001109,0.001109
137,32567.5,0.6725,0.45923,0.90248,0.8939,0.84286,0.84732,0.64313,0.84375,0.64517,0.95194,0.0011024,0.0011024,0.0011024
138,32638.1,0.7351,0.52629,0.93199,0.93735,0.85,0.88078,0.63447,0.92589,0.67174,0.94407,0.0010958,0.0010958,0.0010958
139,32711.3,0.70087,0.46399,0.92589,1,0.78489,0.80854,0.61681,0.86203,0.60788,0.95107,0.0010892,0.0010892,0.0010892
140,33145.3,0.69292,0.47224,0.89177,0.99115,0.8,0.82177,0.68085,0.78264,0.53889,0.93384,0.0010826,0.0010826,0.0010826
141,33233,0.67748,0.44401,0.86007,1,0.84921,0.90221,0.71438,0.77558,0.5513,0.90121,0.001076,0.001076,0.001076
142,33316.8,0.59393,0.43132,0.8655,1,0.84289,0.89541,0.6656,0.81599,0.59542,0.89614,0.0010694,0.0010694,0.0010694
143,33721.7,0.68135,0.4672,0.89912,1,0.74896,0.8645,0.66681,0.757,0.62533,0.88646,0.0010628,0.0010628,0.0010628
144,33793.9,0.66291,0.43732,0.88354,0.93655,0.8,0.85314,0.65507,0.9146,0.77465,0.97175,0.0010562,0.0010562,0.0010562
145,33869.2,0.67102,0.45533,0.89847,0.89413,0.84483,0.84082,0.63942,0.87542,0.76461,0.98557,0.0010496,0.0010496,0.0010496
146,34274,0.76608,0.49592,0.95734,0.86809,0.75,0.82667,0.63785,0.85167,0.7734,0.96115,0.001043,0.001043,0.001043
147,34351.9,0.66457,0.44608,0.87186,0.87197,0.8,0.83672,0.64189,0.83466,0.71533,0.92782,0.0010364,0.0010364,0.0010364
148,34430.2,0.6898,0.43229,0.9306,0.93468,0.8,0.84263,0.66518,0.79773,0.62679,0.90843,0.0010298,0.0010298,0.0010298
149,34878.8,0.64644,0.46204,0.8892,0.9405,0.79077,0.85955,0.66395,0.76684,0.60609,0.89639,0.0010232,0.0010232,0.0010232
150,34951.1,0.63186,0.44188,0.89712,0.84397,0.85,0.86595,0.68611,0.7223,0.62854,0.88941,0.0010166,0.0010166,0.0010166
151,35026.1,0.63321,0.44383,0.92124,0.84356,0.9,0.88506,0.71698,0.66716,0.55273,0.87431,0.00101,0.00101,0.00101
152,35426.9,0.59962,0.41474,0.88794,1,0.74448,0.87877,0.69881,0.71457,0.55381,0.88423,0.0010034,0.0010034,0.0010034
153,35502.3,0.63855,0.45031,0.89055,0.93689,0.74271,0.84285,0.65397,0.85584,0.73023,0.93476,0.0009968,0.0009968,0.0009968
154,35578.5,0.71799,0.49241,0.91232,0.8487,0.84174,0.84507,0.65163,0.87701,0.74008,0.93856,0.0009902,0.0009902,0.0009902
155,36048.1,0.6125,0.4335,0.87281,0.89276,0.83313,0.86365,0.65532,0.8558,0.63819,0.91643,0.0009836,0.0009836,0.0009836
156,36126.2,0.63745,0.46479,0.91924,0.84929,0.84552,0.85706,0.64745,0.83027,0.68351,0.92036,0.000977,0.000977,0.000977
157,36207.9,0.65806,0.46158,0.87415,0.88681,0.85,0.89734,0.65403,0.90107,0.58336,0.94388,0.0009704,0.0009704,0.0009704
158,36620.4,0.70118,0.47067,0.92301,0.93677,0.85,0.9005,0.66166,0.88647,0.56385,0.95758,0.0009638,0.0009638,0.0009638
159,36799.3,0.60355,0.42785,0.89366,0.94217,0.85,0.90743,0.70311,0.82365,0.54457,0.94945,0.0009572,0.0009572,0.0009572
160,37192.7,0.56299,0.42754,0.88396,0.91215,0.85,0.90917,0.74294,0.7559,0.56942,0.93509,0.0009506,0.0009506,0.0009506
161,37267.9,0.63965,0.42968,0.88758,0.89829,0.88377,0.90694,0.72702,0.74859,0.58119,0.92146,0.000944,0.000944,0.000944
162,37339.2,0.64136,0.46453,0.89214,0.94021,0.85,0.91413,0.70479,0.82343,0.62192,0.94128,0.0009374,0.0009374,0.0009374
163,37804.6,0.66652,0.42547,0.89224,1,0.84576,0.88887,0.70443,0.84402,0.71629,0.95851,0.0009308,0.0009308,0.0009308
164,37895.5,0.61283,0.43806,0.88664,1,0.79488,0.83808,0.69714,0.83732,0.99172,0.96582,0.0009242,0.0009242,0.0009242
165,37987.9,0.60024,0.43846,0.88864,0.9982,0.8,0.85436,0.66091,0.86635,0.88208,0.97548,0.0009176,0.0009176,0.0009176
166,38442.7,0.62868,0.43321,0.90498,0.93992,0.85,0.87873,0.70528,0.81999,0.60984,0.91133,0.000911,0.000911,0.000911
167,38619.9,0.61137,0.42856,0.87843,0.89808,0.9,0.89514,0.68971,0.77836,0.61745,0.90991,0.0009044,0.0009044,0.0009044
168,39072.6,0.60518,0.38948,0.89189,0.94082,0.9,0.90112,0.71943,0.77829,0.61827,0.92013,0.0008978,0.0008978,0.0008978
169,39146.1,0.64359,0.43797,0.91879,0.93798,0.85,0.90376,0.69998,0.77951,0.52159,0.94742,0.0008912,0.0008912,0.0008912
170,39219,0.60333,0.4257,0.91755,0.94137,0.85,0.86787,0.69941,0.78789,0.69807,0.94642,0.0008846,0.0008846,0.0008846
171,39660.9,0.5839,0.40812,0.89789,0.92836,0.75,0.82973,0.67589,0.75737,0.76401,0.94799,0.000878,0.000878,0.000878
172,39845.2,0.59523,0.41292,0.87939,0.91944,0.75,0.81992,0.66767,0.8205,0.84247,0.98215,0.0008714,0.0008714,0.0008714
173,40298.6,0.59538,0.40134,0.88122,0.92169,0.8,0.84776,0.65944,0.83099,0.71458,0.97157,0.0008648,0.0008648,0.0008648
174,40372.3,0.57525,0.40782,0.87397,0.89459,0.84873,0.8525,0.67429,0.77622,0.56876,0.93756,0.0008582,0.0008582,0.0008582
175,40449,0.59691,0.48765,0.88728,0.89941,0.89437,0.88782,0.69303,0.75724,0.54916,0.91611,0.0008516,0.0008516,0.0008516
176,40906.3,0.58815,0.4184,0.88626,0.89342,0.9,0.88376,0.70801,0.70657,0.58073,0.89265,0.000845,0.000845,0.000845
177,40989,0.61082,0.42626,0.89254,0.88231,0.85,0.87804,0.71757,0.72762,0.58549,0.90897,0.0008384,0.0008384,0.0008384
178,41069.7,0.60855,0.42513,0.89683,0.94069,0.79338,0.87142,0.71521,0.73064,0.59615,0.90103,0.0008318,0.0008318,0.0008318
179,41512.7,0.5877,0.41525,0.86369,0.87498,0.85,0.86903,0.71622,0.76592,0.58907,0.91592,0.0008252,0.0008252,0.0008252
180,41584.3,0.55531,0.40765,0.8819,0.94183,0.9,0.89729,0.70255,0.75852,0.58309,0.90889,0.0008186,0.0008186,0.0008186
181,41657.9,0.55271,0.41407,0.86911,0.94378,0.83988,0.89584,0.69665,0.75117,0.54508,0.89951,0.000812,0.000812,0.000812
182,42105.8,0.58572,0.40812,0.91515,1,0.74659,0.88244,0.6807,0.76788,0.64646,0.88854,0.0008054,0.0008054,0.0008054
183,42185.9,0.57038,0.41279,0.88192,0.9905,0.75,0.88317,0.68453,0.7826,0.62299,0.89195,0.0007988,0.0007988,0.0007988
184,42267.4,0.62356,0.43151,0.90297,0.92371,0.75,0.87557,0.69101,0.7786,0.57518,0.88948,0.0007922,0.0007922,0.0007922
185,42378.6,0.60009,0.41905,0.87298,0.83802,0.85,0.88087,0.70097,0.77278,0.54327,0.90212,0.0007856,0.0007856,0.0007856
186,42490.8,0.64997,0.44927,0.93349,0.93703,0.8,0.90212,0.72666,0.77,0.49187,0.89668,0.000779,0.000779,0.000779
187,42611.1,0.66164,0.43346,0.93943,0.89074,0.9,0.91642,0.72525,0.81614,0.48761,0.89487,0.0007724,0.0007724,0.0007724
188,43006.9,0.60679,0.41636,0.8952,0.88915,0.9,0.91552,0.71139,0.78597,0.47893,0.89057,0.0007658,0.0007658,0.0007658
189,43087.5,0.60464,0.42721,0.8871,0.88891,0.9,0.91719,0.73204,0.75628,0.47127,0.88704,0.0007592,0.0007592,0.0007592
190,43165.8,0.56215,0.41145,0.88665,0.88639,0.85,0.91629,0.7425,0.73266,0.50232,0.88253,0.0007526,0.0007526,0.0007526
